Région;Récolte;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
24 - Centre-Val de Loire;     BT - dont bois de trituration certifié*;208,518;247,581;272,639;224,545;220,768;254,875;286,382;241,246;244,924;233,678;255,506;279,573;252,952;251,335;277,134;318,653;312,253;280,827;281,919;241,78
24 - Centre-Val de Loire;     BT - Feuillus;267,469;297,15;320,176;280,049;231,284;293,578;355,401;601,174;270,617;264,504;338,647;348,662;366,355;340,673;381,927;346,35;358,349;327,29;326,667;263,787
24 - Centre-Val de Loire;     BT - Conifères;268,881;291,541;361,033;293,889;199,813;395,198;508,211;460,736;289,088;265,045;290,366;290,555;246,14;265,166;253,303;279,801;294,625;295,826;284,735;258,075
24 - Centre-Val de Loire;          BT - Conifères blancs : sapin, épicéa;11,876;41,319;65,963;20,376;9,39;15,113;26,035;40,637;7,297;6,184;9,055;4,539;8,166;10,82;15,096;13,843;12,057;29,375;16,328;21,552
24 - Centre-Val de Loire;          BT - Pins maritimes;76,228;50,088;91,857;90,458;38,758;46,201;282,046;251,005;51,566;57,548;62,139;65,861;50,172;65,838;79,779;77,655;89,402;99,444;88,609;91,014
24 - Centre-Val de Loire;          BT - Autres conifères rouges;180,777;200,134;203,213;183,055;151,665;333,884;200,13;169,094;230,225;201,313;219,172;220,155;187,802;188,508;158,428;188,303;193,166;167,007;179,798;145,509
24 - Centre-Val de Loire;   BI - Autres bois d'industrie;38,408;44,952;25,143;22,717;36,695;32,968;64,337;70,614;75,858;95,429;48,572;40,257;65,714;24,609;49,405;24,932;39,107;35,035;65,711;52,039
24 - Centre-Val de Loire;     ABI - dont bois d'industrie certifié*;8,877;20,6;3,307;5,199;5,439;12,678;41,234;15,093;18,877;2,445;35,117;26,573;43,823;5,754;9,276;4,216;4,171;5,871;4,239;13,69
24 - Centre-Val de Loire;     ABI - Feuillus;14,316;14,605;13,421;10,947;24,741;17,992;25,049;33,49;44,84;60,64;16,912;16,954;21,759;7,067;10,259;9,292;13,13;13,224;20,841;9,219
24 - Centre-Val de Loire;     ABI - Conifères (dont poteaux);24,092;30,347;11,722;11,77;11,954;14,976;39,288;37,124;31,018;34,789;31,66;23,303;43,955;17,542;39,146;15,64;25,977;21,811;44,87;42,82
24 - Centre-Val de Loire;BE - Bois énergie;177,23;192,084;207,945;202,955;232,442;276,962;345,318;315,717;455,211;464,506;587,773;596,15;660,047;652,406;615,248;641,343;639,242;693,647;731,741;676,507
24 - Centre-Val de Loire;     BE - dont bois énergie certifié*;54,821;51,757;66,997;64,41;105,946;112,055;117,218;94,685;128,67;113,448;284,155;241,836;239,511;275,23;300,297;338,524;328,949;370,984;302,483;292,063
24 - Centre-Val de Loire;     BE - Bois de chauffage commercialisé (bois bûche) (jusqu'en 2010);162,352;177,491;186,069;187,67;195,819;212,07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24 - Centre-Val de Loire;     BE - Bois de chauffage cédé gratuitement (jusqu'en 2010);11,8;9,602;2,103;1,939;10,22;9,412;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24 - Centre-Val de Loire;     BE - Bois ronds > 2 m (dont carbonisation) (depuis 2011);0,03;0,164;4,437;0,117;0,04;0;29,641;38,224;27,512;24,82;30,938;43,712;35,002;84,46;78,813;78,671;46,408;55,8;44,634;57,917
24 - Centre-Val de Loire;     BE - Bois en rondins et bûches < 2 m (depuis 2011);0;0;0;0;0;0;275,269;215,353;303,684;241,826;223,28;196,898;272,773;232,189;232,725;230,603;272,779;265,66;292,058;232,116
24 - Centre-Val de Loire;     BE - Plaquettes forestières;3,048;4,827;15,336;13,229;26,363;55,48;40,408;62,14;124,015;197,86;333,555;355,54;352,272;335,757;303,71;332,069;320,055;372,187;395,049;386,474
27 - Bourgogne-Franche-Comté;RBC - Récolte de bois commercialisé;4398,028;4938,732;5178,579;4652,792;3982,626;4262,282;4795,083;4381,197;4527,865;4813,512;4747,682;4843,858;4812,496;4905,187;5029,288;5384,142;6036,899;5520,342;5302,144;5229,605
27 - Bourgogne-Franche-Comté;     RBC - dont bois certifié*;1067,775;1585,481;2042,107;1802,797;1637,091;1897,047;1942,999;1943,851;2034,121;2156,242;2169,791;2310,084;2331,039;2429,082;2514,844;2870,92;2810,845;2668,316;2606,304;2582,515
27 - Bourgogne-Franche-Comté;BO - Bois d’œuvre;2915,061;3195,664;3529,39;3147,843;2581,481;2743,083;3030,302;2627,799;2700,455;2854,599;2839,745;2808,326;2891,097;2975,138;3107,41;3298,92;3911,345;3263,014;3045,388;2954,142
27 - Bourgogne-Franche-Comté;     BO - dont grumes certifiées*;688,815;1028,232;1478,139;1269,202;1096,703;1238,453;1292,414;1210,382;1247,197;1291,813;1321,258;1365,035;1419,193;1462,008;1533,247;1670,51;1715,689;1566,483;1548,438;1547,945
27 - Bourgogne-Franche-Comté;     BO - Feuillus;1102,225;1120,02;1224,156;1200,253;938,399;968,232;1080,582;947,732;932,556;990,091;999,472;1119,868;1018,468;1045,295;984,77;923,707;977,948;1028,613;932,755;814,631
27 - Bourgogne-Franche-Comté;          BO - Chêne;691,951;685,075;715,092;664,514;525,349;511,738;619,174;541,425;514,51;557,411;552,82;661,263;604,855;612,516;578,019;563,729;577,121;625,677;556,007;501,375
27 - Bourgogne-Franche-Comté;                BO - Chêne à tranchage et merrain;49,31;55,009;58,176;57,836;49,682;53,716;52,942;58,039;60,274;65,495;52,996;69,513;63,232;100,094;73,262;41,392;57,38;63,169;60,498;41,894
27 - Bourgogne-Franche-Comté;                BO - Chêne à sciages;642,641;630,066;656,916;606,678;475,667;458,022;566,232;483,386;454,236;491,916;499,824;591,75;541,623;512,422;504,757;522,337;519,741;562,508;495,509;459,481
27 - Bourgogne-Franche-Comté;          BO - Hêtre;256,019;265,797;291,93;285,376;222,98;241,62;233,978;232,604;235,407;241,762;236,089;234,998;219,028;234,075;212,844;218,087;228,137;237,284;226,257;196,803
27 - Bourgogne-Franche-Comté;                BO - Hêtre à déroulage;23,479;31,061;29,006;36,249;14,742;21,698;28,822;43,332;28,2;35,326;40,349;28,992;30,281;28,536;33,938;24,941;18,605;20,195;14,678;7,995
27 - Bourgogne-Franche-Comté;                BO - Hêtre à sciages;232,54;234,736;262,924;249,127;208,238;219,922;205,156;189,272;207,207;206,436;195,74;206,006;188,747;205,539;178,906;193,146;209,532;217,089;211,579;188,808
27 - Bourgogne-Franche-Comté;          BO - Châtaignier;3,892;3,049;2,935;3,391;3,767;2,113;2,748;6,525;2,286;1,814;1,425;2,652;1,465;3,389;2,033;0,761;2,77;1,897;2,471;1,503
27 - Bourgogne-Franche-Comté;          BO - Feuillus précieux;32,898;31,751;40,494;41,585;27,6;29,199;27,384;19,863;26,253;32,915;29,188;47,682;41,562;55,264;58,717;49,495;55,494;55,5;54,018;43,207
27 - Bourgogne-Franche-Comté;          BO - Peuplier;86,901;97,812;122,402;95,92;80,875;98,402;133,936;81,065;94,364;103,314;119,122;120,317;101,074;89,085;91,963;61,024;70,491;65,955;55,695;45,131
27 - Bourgogne-Franche-Comté;               BO - Peuplier à déroulage;61,762;67,353;75,806;58,919;44,373;57,404;57,147;31,227;36,688;30,577;44,405;46,727;48,065;41,798;45,813;32,494;42,461;42,34;35,698;28,767
27 - Bourgogne-Franche-Comté;               BO - Peuplier à sciages;25,139;30,459;46,596;37,001;36,502;40,998;76,789;49,838;57,676;72,737;74,717;73,59;53,009;47,287;46,15;28,53;28,03;23,615;19,997;16,364
27 - Bourgogne-Franche-Comté;          BO - Autres feuillus;30,564;36,536;51,303;109,467;77,828;85,16;63,362;66,25;59,736;52,875;60,828;52,956;50,484;50,966;41,194;30,611;43,935;42,3;38,307;26,612
27 - Bourgogne-Franche-Comté;     BO - Conifères;1812,836;2075,644;2305,234;1947,59;1643,082;1774,851;1949,72;1680,067;1767,899;1864,508;1840,273;1688,458;1872,629;1929,843;2122,64;2375,213;2933,397;2234,401;2112,633;2139,511
27 - Bourgogne-Franche-Comté;          BO - Sapin-épicéa (jusqu'en 2018);1364,27;1568,663;1751,957;1406,148;1172,154;1232,32;1243,339;1114,015;1164,761;1238,882;1207,539;1079,454;1198,079;1238,131;0;0;0;0;0;0
27 - Bourgogne-Franche-Comté;          BO - Sapin (depuis 2019);0;0;0;0;0;0;0;0;0;0;0;0;0;0;680,874;407,177;604,936;664,159;670,868;645,997
27 - Bourgogne-Franche-Comté;          BO - Epicéa (depuis 2019);0;0;0;0;0;0;0;0;0;0;0;0;0;0;766,761;1289,037;1708,121;1107,229;843,306;936,655
27 - Bourgogne-Franche-Comté;          BO - Douglas;370,798;373,325;426,817;410,175;365,602;444,899;565,787;485,979;532,109;571,881;574,236;519,582;607,917;625,921;638,198;643,97;560,204;398,536;534,479;467,796
27 - Bourgogne-Franche-Comté;          BO - Mélèze;3,27;3,274;3,458;7,836;7,853;7,898;31,637;6,694;6,693;4,476;6,386;5,891;4,344;3,492;3,522;2,486;3,65;2,954;2,518;5,093
27 - Bourgogne-Franche-Comté;          BO - Pin maritime;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,729;0,042;0;0,273;0;0,348
27 - Bourgogne-Franche-Comté;               BO - Pin maritime à placages;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27 - Bourgogne-Franche-Comté;               BO - Pin maritime à sciages;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,729;0,042;0;0,273;0;0,348
27 - Bourgogne-Franche-Comté;          BO - Pin sylvestre;23,314;49,396;62,121;47,695;36,879;44,622;71,254;35,783;40,442;28,692;36,766;38,085;39,211;25,384;14,502;13,844;31,432;37,225;31,138;32,091
27 - Bourgogne-Franche-Comté;          BO - Autres conifères;51,184;80,986;60,881;75,736;60,594;45,112;37,703;37,596;23,894;20,577;15,346;45,446;23,078;36,915;18,054;18,657;25,054;24,025;30,324;51,531
27 - Bourgogne-Franche-Comté;BI - Bois d'industrie;1152,09;1326,84;1284,316;1096,689;906,106;1050,179;1116,087;1130,655;1100,319;1194,788;1158,907;1237,808;1135,247;1102,088;1131,876;1155,337;1179,515;1151,857;973,95;1050,035
27 - Bourgogne-Franche-Comté;   BI - Bois de trituration;1103,316;1267,582;1251,854;1057,343;865,057;1003,32;1046,175;1063,617;1010,09;1106,313;1088,562;1156,074;1057,795;1010,936;1035,628;1057,803;1078,38;1073,978;909,54;969,618
